time,normalized_saliency,sa_normalized_saliency,other_normalized_saliency,normalized_saliency_smoothed,sa_normalized_saliency_smoothed,other_normalized_saliency_smoothed,Highlight,Task_D3_zone,Task
37,0.036667564371275,0.0023451687229306,0.0310752398589911,0.0126419195607489,0.0014993416318294,0.0318502606593306,-1,0,0
38,0.0390616337813178,0.0027744126779708,0.0309980118135058,0.0256518121139402,0.0020496803181667,0.0314305867060019,-1,0,0
39,0.0409807150644155,0.0026068283150477,0.030936105965664,0.0389033044056694,0.0025754699053164,0.0310031192127203,-1,0,0
40,0.0017380021551166,0.0003985827675875,0.0322019999304801,0.0272601170002833,0.001926607920202,0.0313787059032166,-1,0,0
41,0.0271450614620566,0.0,0.0313824173721917,0.0232879262271962,0.0010018036942117,0.0315068410894452,-1,0,0
42,0.1278893871938773,0.0168511427880465,0.0281326004131007,0.0522574836036835,0.0057499085185446,0.0305723392385908,-1,0,0
43,0.1451684835366751,0.0290414270147485,0.0275752102084943,0.100067644064203,0.0152975232675983,0.0290300759979289,-1,0,0
44,0.1280266295633517,0.0605212135624435,0.0281281732398918,0.1336948334313014,0.0354712611217462,0.0279453279538289,-1,0,0
45,0.0789441009384024,0.0760613767516524,0.0297114806148902,0.1173797380128097,0.0552080057762815,0.0284716213544254,-1,0,0
46,0.0743064684423478,0.0887577727027907,0.02986108166315,0.0937590663147007,0.0751134543389622,0.0292335785059774,-1,0,0
47,0.0908319549732181,0.01675159965324,0.0293280014524768,0.0813608414513228,0.0605235830358944,0.0296335212435057,-1,0,0
48,0.091122141267645,0.0571047722052764,0.0293186406042695,0.085420188227737,0.054204714853769,0.0295025745732988,-1,0,0
49,0.0723584490868954,0.0534069862123546,0.0299239209971969,0.0847708484425862,0.042421119356957,0.029523521017981,-1,0,0
50,0.077807518431183,0.0576474704403728,0.029748144566736,0.0804293695952411,0.0560530762860013,0.0296635687227341,-1,0,0
51,0.0946749481684706,0.1340565481132746,0.0292040339300493,0.081613638562183,0.081703668255334,0.029625366497994,-1,0,0
52,0.0733198070467064,0.0619343812131286,0.0298929094501062,0.0819340912154533,0.084546133255592,0.0296150293156305,-1,0,0
53,0.0126431380290867,0.0313312263184998,0.0318502213539004,0.0602126310814212,0.0757740518816343,0.0303157215780186,-1,0,0
54,0.0278391556497812,0.0428970656962838,0.0313600272371038,0.0379340335751914,0.0453875577426374,0.0310343860137035,-1,0,0
55,0.0748139696691391,0.0450855231735056,0.0298447106558342,0.038432087782669,0.0397712717294297,0.0310183197489461,-1,0,0
56,0.1053434338365546,0.0031293324241699,0.0288598892310788,0.0693321863851583,0.0303706404313198,0.0300215423746723,-1,0,0
57,0.043842903483866,0.0054451494192902,0.030843777306972,0.0746667689965199,0.0178866683389886,0.0298494590646283,-1,0,0
58,0.0515851489395462,0.0076301625436202,0.030594027453563,0.0669238287533222,0.0054015481290268,0.0300992313305379,-1,0,0
59,0.0563736822625756,0.0016472874712999,0.0304395586366911,0.0506005782286626,0.0049075331447368,0.0306257877990754,-1,0,0
60,0.0041468499101162,0.0599962216764449,0.0321242951641898,0.037368560370746,0.0230912238971217,0.0310526270848146,-1,0,0
